,timestamp,highest_layer,length,dest_ip,dest_port
99,1521394916.746076,TCP,54,10.0.2.2,55959
100,1521394917.58927,TCP,7354,10.0.2.2,55959
101,1521394917.589374,TCP,1754,10.0.2.2,55959
102,1521394917.589431,TCP,54,172.17.0.2,8080
103,1521394917.589437,TCP,54,172.17.0.2,8080
104,1521394917.589482,TCP,54,172.17.0.2,8080
105,1521394917.589485,TCP,54,172.17.0.2,8080
106,1521394917.589486,TCP,54,172.17.0.2,8080
107,1521394917.589488,TCP,54,172.17.0.2,8080
108,1521394917.58949,TCP,54,172.17.0.2,8080
109,1521394917.58956,TCP,1599,10.0.2.2,55959
110,1521394917.589664,TCP,54,172.17.0.2,8080
111,1521394917.589669,TCP,54,172.17.0.2,8080
112,1521394917.598533,DATA-TEXT-LINES,459,10.0.2.2,55959
113,1521394917.603282,TCP,54,172.17.0.2,8080
114,1521394917.615981,HTTP,749,172.17.0.2,8080
115,1521394917.615989,HTTP,726,172.17.0.2,8080
116,1521394917.616046,TCP,54,10.0.2.2,55959
117,1521394917.62489,TCP,5023,10.0.2.2,55952
118,1521394917.625069,DATA-TEXT-LINES,59,10.0.2.2,55952
119,1521394917.625395,TCP,54,172.17.0.2,8080
120,1521394917.625402,TCP,54,172.17.0.2,8080
121,1521394917.625404,TCP,54,172.17.0.2,8080
122,1521394917.62645,TCP,54,172.17.0.2,8080
123,1521394917.63227,TCP,1379,10.0.2.2,55959
124,1521394917.632467,DATA-TEXT-LINES,59,10.0.2.2,55959
125,1521394917.632649,TCP,54,172.17.0.2,8080
126,1521394917.632655,TCP,54,172.17.0.2,8080
127,1521394922.304678,HTTP,843,172.17.0.2,8080
128,1521394922.347978,TCP,54,10.0.2.2,55959
129,1521394922.75209,TCP,7354,10.0.2.2,55959
130,1521394922.752209,TCP,1754,10.0.2.2,55959
131,1521394922.752343,TCP,54,172.17.0.2,8080
132,1521394922.752347,TCP,54,172.17.0.2,8080
133,1521394922.752349,TCP,54,172.17.0.2,8080
134,1521394922.75235,TCP,54,172.17.0.2,8080
135,1521394922.752351,TCP,54,172.17.0.2,8080
136,1521394922.752504,TCP,54,172.17.0.2,8080
137,1521394922.752507,TCP,54,172.17.0.2,8080
138,1521394922.758613,TCP,6424,10.0.2.2,55959
139,1521394922.759316,TCP,54,172.17.0.2,8080
140,1521394922.759324,TCP,54,172.17.0.2,8080
141,1521394922.759327,TCP,54,172.17.0.2,8080
142,1521394922.759329,TCP,54,172.17.0.2,8080
143,1521394922.759332,TCP,54,172.17.0.2,8080
144,1521394922.775065,HTTP,778,172.17.0.2,8080
145,1521394922.789445,PNG,4132,10.0.2.2,55952
146,1521394922.789689,TCP,54,172.17.0.2,8080
147,1521394922.789696,TCP,54,172.17.0.2,8080
148,1521394922.792394,HTTP,783,172.17.0.2,8080
149,1521394922.798007,PNG,1542,10.0.2.2,55952
150,1521394922.798278,TCP,54,172.17.0.2,8080
151,1521394922.80148,HTTP,783,172.17.0.2,8080
152,1521394922.806881,PNG,2654,10.0.2.2,55952
153,1521394922.807084,TCP,54,172.17.0.2,8080
154,1521394922.809691,HTTP,781,172.17.0.2,8080
155,1521394922.813676,TCP,58,172.17.0.2,8080
156,1521394922.813842,TCP,58,10.0.2.2,55966
157,1521394922.813956,TCP,58,172.17.0.2,8080
158,1521394922.81396,TCP,54,172.17.0.2,8080
159,1521394922.814007,TCP,58,10.0.2.2,55968
160,1521394922.814215,TCP,54,172.17.0.2,8080
161,1521394922.814221,TCP,58,172.17.0.2,8080
162,1521394922.814258,TCP,58,10.0.2.2,55970
163,1521394922.814612,TCP,54,172.17.0.2,8080
164,1521394922.814659,TCP,58,172.17.0.2,8080
